cleaned_stemmed,sentiment_prediction
inti timnas indo menang kalah tetep puji langit,negative
jama ah al nopekiah liaceng hadir,negative
grup hancur,negative
target imbang arab saudi kalah syukur indonesia karna main game target coach sty kru penuh,negative
gacor parah marcelino malam,negative
suhu gila cuyy menang,negative
wasit tarik nafas smbil mlengos hahh pas niup pluit pnjang kecewaa dhh saudi klahh,negative
nmr kilas roberto carlos,negative
gilir pas tayang siar langsung susah nonton live,negative
martens paes udah kosong pdhal main kualitas eropa suruh main parkir bus mulu ngandalin counter attack doang mending counter gg serang putus jalan kwkwkw main arab pdhal kualitas pede main kuasa bola nyerang dikte lawan dapet peluag cetak goll tahan total segitu banget nyari point lawan jepang selesai kualitas main jepang tau main tahan dlu timnas main tahan lawan tim asia kuat main naturalisasi ujung kalah,negative
al buyani kalah ragnar sok keras ronaldo mes sok keras son,negative
efek dodo main arab main arab lembek,negative
proses gol indonesia ragnar karna raghnar tendang umpan komentator gimana sih,negative
si botak nyala bat anjeer,negative
rumput,negative
kasih tau malaydesh,negative
gila jam tembus jt,negative
masuk main pribumi langsung turun main gempur habis,negative
dik baya gagal bos marcelino,negative
oratmangon patut acung jempol kerja keras,negative
puo goll goll paleng seruh,negative
next bikin kejut kandang go go go tomnas indonesia nyala marten paes,negative
tv belah tayang ulang cuman menit,negative
latih arap mancini bos,negative
jaman timnas main tandang lawan arab saudi latih roberto mancini ngimbangin keinget lawan negara arab udah gempur bantai mentall,negative
udah bilang lawan jepang saudi australi apa banding lawan qatar,negative
sengaja imbang biar kuota haji rang,negative
marteen paes pinalty tenang banget kayak orang utang kayak loe loe pade,negative
indonesia main sumpahin lolos piala dunia,negative
mah indo ngegolin tolong komentator analis diem detik ngerasain gemuruh stadion buar nonton tv streaming ganggu mah sih,negative
reflek nonton hp pas goll banting hp haru lihat indonesia menang semngat garuda,negative
rasa nonton kali ap sakit obat sembuh timnas menang akaan wujud tumbuh timnas ku menang menang cetak sejarah indonesia welcome word cup sholallohu ala muhammad,negative
peluang bola struick lemah pantes juluk el klemer yah sty pilih depan si hoki sananta,negative
arab emang tukang pangkas iya,negative
knpa main sngt sulit gol main tumpul harap coach bsa temu ganti nhe struick saing padan biar brwarna,negative
ne main indonesia incar club arab habis mtach,negative
thowell marselino golin komentar bungwell,negative
gol bujur,negative
pribumi iya lolos pildun,negative
tinggal cari striker gacoor,negative
laga home saudi menang bayang betapa bahaya saudi juara asia perdelapanfinal piala dunia gitu lho tahan imbang kandang,negative
lawan langgan masuk pildun nahan imbang,negative
oh menang lawan argentina kemaren pas piala dunia,negative
ragnar ngak offside jawb bang,negative
timnas hadap tim tim timur kalah segi fisik badan tara tinggi,negative
bantu wasit tuh arab upss,negative
ganyang bahrain inimah,negative
sih kalah jepang kecewa,negative
sayng raafael matang assist sempat mas babak trbuang,negative
percaya kabar rumput gbk ngasih tau,negative
baju putih real madrid,negative
haru ina,negative
denger,negative
sumpah bacain komenan namgis bangga bngt timnas,negative
ragrar serasa donyell malen,negative
sandy ngapain masuk gawang lawan,negative
asa main gbk njir mental best king indo,negative
menit rafael egois ngak oper ragnar,negative
verdonk paru,negative
gokill timnas kereenn,negative
numpang kevin dick main nggk,negative
kalah menang jantung,negative
bnyak kealahan drirafael struick,negative
lihat tom haye kaya lihat andrea pirlo maen ogah ogah umpan akurat,negative
last chance aduh sayang banget rafa pelan passing gpp syukur hasil lumayan poin away,negative
nonton siar ulang full match mana yah bang,negative
gercepp,negative
la gitu hbis nyanyi tanah air belanjud menyiarkanya dlam main sambut fans mntap rcti,negative
iklan rokok kntll anjg,negative
butuh striker murni,negative
gercep mnc mantp,negative
knpa panjang banget yak,negative
si towell da suara,negative
lokal main bantai dlu tim arab main timnas menang telak skrg marten paes bawa aura lawan anggap enteng coba ernando main bulan gol,negative
verdonkk,negative
komentator bahasa inggris peter drury nonton chanel iya,negative
hoki indo pake kaos putih pake kaos merah hoki kalah coba pake putih,negative
udah nontol full semalem sangking bangga timnas keren nonton cuplik next bismillah point gbk,negative
negara asean iri iya,negative
tendang lino sandy walls,negative
bantu wasit maen drama nyari pinalty banget tendangn bebas langsung kalah pantes arab saing lolos world cup kualitas bantu wasit notabene banyak timur pas word cup mati ketemu wasit eropa afrika bayar hahahha,negative
brisik banget suporter indonesia menit menit,negative
mata main indonesia indonesia main eropa main gilee,negative
sctv lihat tuh gimana rcti kerja,negative
bonek mojokerto hadir insting gol si bocah ajaib marcellino sejajar luonel messi bos,negative
gempur gokil tahan,negative
habis tanding syukur keren takjub indonesiamendunia,negative
haters marcelino sty mingkem nyari bacolan,negative
laki laki lembek jatuh bangun ahh arab,negative
komentator bangs fokus nonton,negative
mendesat butuh striker sayap kuat,negative
kira martin paes martin nueuer,negative
biasa asih ruang tembak beck lemah timnas,negative
bilang curang wasit,negative
neng banget nonton langsung gbk habis tiket versus jepang emang rejekinya nonton langsung lawan arab rejekinya menang merinding teriak suporter gbk moga rejekinya nonton langsung yahh event,negative
verdonk best turun gaada capek,negative
bedebah gembos menang horee kalah sty suara,negative
wasit ingat wasit dunia pierluigi collina,negative
tuju lihat maselino ferdinad sebentar udah kaya cristiano ronaldo,negative
marcelino hri main bgus banget gag egois finishing bgus tenang banget tolong konsisten bgitu marceng,negative
tuju indonesia main pakai jersey putih putih bawa hokky,negative
bek arab nyerang sisa lawan counter attack sempura,negative
towal towel nichh,negative
ragnar verdonk obat nafas kuat banget,negative
smpek pagi smpk perih mta sngt muas,negative
arab keteter bangga timnas haru baca komentar nitizen,negative
kas imbang garuda hidup garuda,negative
keren banget anjirr,negative
asik nih suporter pas teriak afc mafia rancu wasit,negative
faktor wasit waktor cuaca udah sip main,negative
indonesia lolos negara pikir kali hadap main timnas senior indonesia lihat hasil seri bangga lawan negara kuat lolos pildun,negative
upload cepat durasi highlight parah rcti,negative
eropa clas,negative
sandy calvin keren pis alir bola umpan akurat tembak langsung main potong antisipasi bola,negative
sreamingnya macet,negative
bosan bosan highligt indonesia versus arab saudi smga oktober full point,negative
moga kuota haji umroh tambah biar tunggu aamiin,negative
ngujat sty iya dngn struk ganti udah lemes mai ttp pake,negative
ayo indonesia ku maju pantang tumbang lawan kalah,negative
kayak dikit nonton langsung gbk,negative
saat arhan masuk jantung debar,negative
timnas yok,negative
menang teriak teriak suara kutub dunia,negative
struick gagal tek tok tross lihat,negative
wan na say verdonk terminator power,negative
bacot handuk kmarin kalah lawan jepang ngebacot nyurih sty mundur,negative
doa rakyat indonesia serta jalan timnas lepas hasil group kalah menang merah putih mati tuhan memcabut cinta timnas benci timnas musuh negara,negative
wesley greget banget,negative
neng sedih karna eliano bom main,negative
saudi kmrin kalah juara dunia argentina salah liga mahal,negative
nang haru,negative
orang ragnar,negative
syukron,negative
alhamdulilah marten gagal tendang finalti arab,negative
jersey warna putih pakai timnas menang nasib,negative
indonesia pake baju putih rasuk real madrid pake baju merah rasuk myu,negative
rafael struick buat salah transisi garuda serang umpan sempurna sayang last mute goal bad,negative
tingkat stamina sih babak habis main lokal masuk babak nafas habis parah pengaruh cuaca arab sono,negative
kali timnas main rcti dipandeglang nonton siar sctv indosiar mnc group siar tv,negative
ayo timnas garuda maksimal sisa laga insya allah lolos pildun jngn sia sempat dpn mata,negative
peci merah muncul kemarin indonesia kalah,negative
kompetator lebay norak,negative
verdonk gacorr,negative
bangsa gila bola tidur nyenyak,negative
jumawa serang lini msh tumpul bola hilang sampao hilang produktif,negative
nanya langgan vision nonton rctinya mana iya sportstar,neutral
masrel moga tak gol,neutral
asa nonton piala dunia,neutral
nitip,neutral
nonton senayan,neutral
mudah mudah arab saudi kurang kuota haji indonesia amin,neutral
baju putih menang,neutral
arab saudi kurang drama drama,neutral
nitip komentar jam,neutral
asa tenang skrnag kiper paes,neutral
ahh marcelino naturalisasi nothing umpan naturalisasi local nothing,neutral
cocote towel nich,neutral
masuk komentator rcti kurang dialog,neutral
asa nonton piala ucl,neutral
nonton nonton yt,neutral
tenang lang,neutral
towel nonton iya,neutral
takut nonton live nonton kalah nonton highlights,neutral
none marselino cah,neutral
hp langsung dingin,neutral
biasaa,neutral
jersey putih keramat,neutral
nonton tidur,neutral
dingin,neutral
goal kelas marcel butuh skill tenang,neutral
gaya main marselino tenang,neutral
mari jamu australia gbk full merah putih,neutral
seru main non pribumi,neutral
pas timnas main rcti sinyal,neutral
nonton,neutral
mode baju putih boss,neutral
komposisi pas,neutral
dingin kejam,neutral
never give,neutral
dingin,neutral
kemarin bang kolom komentar tiada,neutral
tuh nonton highlight live streaming,neutral
ne sia,neutral
sayang aqu nonton,neutral
nonton iklan arhan,neutral
dingin cuyy,neutral
paess bnr bnr biasaa,neutral
kurang iklan min,neutral
seru nonton highlight,neutral
nonton,neutral
tim merah putih tim orange,neutral
nonton vw,neutral
moga marselinno hati tetap tenang rendah hati,neutral
less goo,neutral
nitipp,neutral
luaarr biasaa,neutral
tinggal tahan gaya main kurang salah langgar main seri menang,neutral
tenang,neutral
pkai bju putih ae,neutral
kali nonton timnas main tenang lawan arab saudi kucing,neutral
nonton nonton haighligh lagi,neutral
nonton tdi mlm nonton highlighnya kumpul dsini,neutral
tenan ora,neutral
asa nonton timnas oranje sih,neutral
udah nonton malem nonton iya,neutral
jersey putih sipake aja,neutral
sakti jersey putih,neutral
nonton siar full match dmn yak,neutral
oalaahh tinggal berita nich,neutral
main emang tenang,neutral
move nonton gais,neutral
stamina biasaa lanjut garuda,neutral
kurang kiper temu,neutral
marcelino kurang egois langsung hasil,neutral
timnas main home away pake jersey putih,neutral
saudi arabia without referee nothing,neutral
martan pas,neutral
nontoon,neutral
nitip,neutral
cr nonton,neutral
sengaja seri takut jatah haji rang,neutral
please tanding pake baju putih bawa hoki,neutral
nitip komentar,neutral
nitip komentar trending,neutral
kurang striker,neutral
main putih item,neutral
nonton tv nonton,neutral
jersey putih,neutral
asa nonton pildun,neutral
ez,neutral
jersey putih jersey keramat,neutral
rizki ridho tenang keren maennya,neutral
dingin kejam,neutral
kurang lapang lapang lapang mudah kelola ganti,neutral
rcti kurang komentator bagus kah,neutral
kudu jersey putih,neutral
nonton sekolah,neutral
tenang indah main,neutral
deg nonton highlight,neutral
indonesia takut china doang takut tagih hutang,neutral
udah nonton tv nonton youtube,neutral
haru nonton,neutral
heng pakai baju putih,neutral
nonton spot jantung cuy,neutral
min upload full match nda nonton,neutral
indonesia mode jersey putih,neutral
nonton,neutral
main timnas bgtu tenang,neutral
biasaa,neutral
nonton tidur,neutral
jersey putih hoki,neutral
main padu salah tenang kaya babak,neutral
cr nonton iya,neutral
kurang striker,neutral
jersey putih paten,neutral
keinget gol inzaghi pas free kick pirlo,neutral
timnas takut kadang negara mana tim kuda hitam,neutral
nitip sendal takut trending,neutral
wa duh nonton,neutral
kurang kuota haji kayak,neutral
impossible nothing,neutral
alamat kouta haji kurang,neutral
ttp tenang jangn tim gumonan moga poin kandang koar,neutral
pas,neutral
si justin neng dapet kartu,neutral
keinget messi ane,neutral
nonton neng yaa,neutral
martien paes kereen tenang,neutral
nontonnya ampe keringat dingin,neutral
kali nonton,neutral
udah tenang nonton timnas asli,neutral
indonesia pake jersey putih,neutral
nonton tidur,neutral
laen tenang fokus,neutral
baju putih bawa hokki,neutral
kelas kontrol bola tenang,neutral
asa nonton ucl,neutral
min main pake baju putih,neutral
tgl november nonton ahh,neutral
tinggal ntn apk bng,neutral
malam telat jam nonton,neutral
si towel nonton iya,neutral
info nonton full match replay iya,neutral
baju putih bawa hoki,neutral
tanding janji,neutral
janji ngesot madura penuh janji,neutral
lawan lawan takut kaki patah lawan takut tim kalah,neutral
keren tenang paes,neutral
tim udah nonton tv tetep nonton highlight,neutral
udah nonton tv nonton ah,neutral
wee teman bang dodo teman neymar main,positive
salut supporter indonesia,positive
alhamdulillah imbang malam nonton,positive
iya adik adik,positive
moga tanding timnas indonesia,positive
moga bahrain versus australia,positive
terbang tinggi garuda ku terima kasih merceng main suporter indonesia,positive
semat min biar smua hujat sty lihat,positive
indonesia bnyak main luar mksudny pribumi asli indonesia bnyak main luar kayak,positive
verdonk mai bagus,positive
good job garuda tunggu eliano main semangat eliano,positive
witan duet maeselino arhan tajam main sayap main lincah nua sudh mantap,positive
mantap main indonesia moga lolos piala dunia,positive
untung arab saudi kandang tahan imbang king asia gbk udah bantai king asia,positive
babak keren banget main,positive
thowel nonton engga thowel lihat kualitas paes thowel,positive
moga lolos langsung world cup,positive
lokal wkwkekwk,positive
main malam jadi lolos piala dunia mimpi nyata,positive
kiper indonesia joss,positive
indonesia timnas bagus main natural isasi greget,positive
moga jalan piala dunia juang garuda,positive
masuk,positive
bang jay mnyala el capitano,positive
bener bener grup neraka bahrain menang moga asa ambil peringkat,positive
martin paes good job,positive
mantapa martines,positive
verdonk world class,positive
menaang,positive
alhamdulillah sty pecat marselino ferdinan selamat karir sty ujuk tanduk berkat poin buka asa timnas indonesia lolos piala dunia amin,positive
supporter indonesia dateng langsung auto haji,positive
tuju rafael cadang ilang peluang,positive
bangga timnas garuda,positive
tenang marcelino luarbiasa,positive
marteen paez kelas dunia,positive
udah mantap,positive
mantap rcti full cuplik peluang salah tampil tau jadi lapang indosian cuplik tanding singkat bikin kesal gol tampil,positive
komentator bagus tv belah,positive
wajah mancini syok bobol,positive
saing lawan tim kuat eropa iya timnas indo pakai main turun klub eropa sisa lojal abroad negeri timnas indo kalah korsel obat pakai latih korsel contoh laga piala asia timnas indo kalah korsel alias double kill mana korsel campak coach stb skrg indo kalah korsel turut arab saudi level tim kuat eropa amerika latin shgga timnas indo alhamdulillah imbang arab saudi kandang timnas indo lolos pildun lihat batas kuat sepak bola dunia timnas indo imbang tim kuat eropa amerika latin pildun,positive
hasil dapet poin oleh poin tinggi negara asean round match,positive
menit indo menang,positive
menit struick oper marcel peluang gol patut syukur teamnas menang moga lolos pildun aamiin,positive
sandy ok bgtt,positive
kira cristiano ronaldo cristiano marcelino,positive
salut sty terap formasi tahan rapi transisi serang tahan bagus patut tahan nih sty,positive
lol,positive
pepe timnas iya,positive
rcti oke bingits highlight menit kayak belah seupritt,positive
rangking fifa main imbang,positive
kawan raja saudi tk hadiah unta ton kurma tim nas kt dosa hehe,positive
main bagus lawan japan kes pasrah semangat garuda merah putih,positive
full bon,positive
komentator sedap dengar soccerchanel,positive
trending yuk,positive
yuk ramai gbk indonesia versus australia,positive
pulang klub main bangga percaya bahagia menang laga malam,positive
lets go garuda kibar sayap berterimakasih kpd eric beliau sepak bola maju,positive
komunikasi main kuat sisa jos gandos,positive
mancini said makan tuh peringkat mending imbang,positive
alhamdulilah poin,positive
izin indonesia gila bola masuk piala dunia iya allah doa timnas kalah hujat menang bangga kawal indonesia titik garuda dunia garuda juara bismilah piala dunia udah mata,positive
stasiun tv indonesia iklan nasionalisme keren,positive
kadang main khas indo msh lekat,positive
atitude lawan indo tau indonesia negara muslim,positive
bosen lihat highlight gol gol lino kereenn,positive
salfok wasit mimpin liga,positive
marcelino apotik tutup obat,positive
sty mode pepet,positive
alhamdullilah indonesia menang evaluasi kerja keras kompak semangat serah butuh kan terima kasih main kompak semangat,positive
anang friends,positive
koar main lokal suara preet jo ngoni bisa adu domba sya allah main kandang timnas menang,positive
main indonesia maju tahap,positive
keren garuda ku main tarung sejati,positive
marteen paes bagus selamat gawang indonesia penalty good job paes,positive
menang puji kalah hina,positive
thanks maarten paes hero god bless team,positive
main main bagus salut verdonk kuat fisik horsepower jantung silinder,positive
indonesia,positive
sukses timnas indonesia,positive
timnas ku bagus,positive
pinter marketing rcti kirain iklan youtube skip njir tambahin iklan sty minum kopi,positive
asa indonesia laga piala dunia kualifikasi,positive
timnas indonesia mantap kembang bravo timnas,positive
indonesia kuat australia,positive
gairah,positive
rcti oke subhanalloh alhamdulillah timnas indonesia bawah erick thohir sty supporter top subhanalloh alhamdulillah,positive
indonesia nih boss,positive
keren main timnas indonesia man match marten paes kereen,positive
moga tanding caba main inti,positive
hubner masuk list iya,positive
indonesia main bagus gin bawa poin kereen salut kerja tim apik kirain bulan menyalaa indonesia,positive
pelan,positive
egi messi,positive
arab serang rem wkek,positive
hore hore,positive
alhamdulillah mantap timnas,positive
indonesia main level dunia,positive
alhamdulillah indonesia poin,positive
alhamdulillah ayo maju teamnas,positive
untung nyalonin calon wakil walikota tangerang gacor main,positive
gokil garuda ku terbang terima kasih unt tim,positive
merinding uyy,positive
komentator,positive
permainanya layak masuk pildun,positive
jujur lawan jepang menang pas lawan arab asa kayak optimistis indonesia menang,positive
oyy santai kawan,positive
alhamdulillah iya allah bangga banget keren pokok timnas,positive
timnas best bravo,positive
ribut skali,positive
main timnas skrg sperti hina,positive
kyak nonton semifinal world cup,positive
bantu wasit ngalahkan indonesia kasihan arab saidi alhamdulilah progres mantap kembang garuda,positive
bangga haru banget lihat juang timnas indonesia main naturalisasi jiwa nasionalis juang titik darah habis,positive
like biar trending,positive
timnas hebat,positive
syukur alhamdulillah iya allah dapet poin,positive
tom haye masuk menit iya,positive
main konsisten mudah tiket piala dunia tangan khianat,positive
insya allah auto timnas lolos piala dunia main,positive
bukti nyong flores marselino,positive
arab saudi kali hos sosan hadap timnas indonesia semangat garuda indonesia dukung juang,positive
ratus ahay,positive
menang lawan arap alhamdulillah menang good job,positive
alhamdulillah haru dengar suara komentator kah,positive
rcti bagus jerni,positive
indonesia eropa bule main,positive
verdonk jordi alba indonesia,positive
main timur guling,positive
indonesia tanah air,positive
bravo indonesia faham masuk arhan bantu tahan serang benci sayang main main posisi,positive
timnas jago,positive
bantai australia china bahrain,positive
terima garuda semangat,positive
marten paes pahlawan,positive
performance bagus naturalisasi tolong tingkat naturalisasi biar pede,positive
alhamdulillah tim garuda main bagus kalah arab saudi,positive
indonesia go dunia,positive
subhanallah alloh mantap lang sung air matarurun gemetar,positive
mrteen paes top markotop,positive
king indo nih boss,positive
king indo boss,positive
main ok marcelino yeess,positive
toyor main arab ngeselin emang,positive
yoo bagus modal even berikutnys,positive
